trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.98, 'e': 0.0653913372093433}",25,14,12.824865882286709,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.98, 'e': 0.06408351046515644}",20,15,11.374395501173774,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.98, 'e': 0.0628018402558533}",20,14,12.371379585624911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.98, 'e': 0.061545803450736236}",20,8,-8.288061277442795,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.98, 'e': 0.060314887381721506}",35,17,38.54795667607459,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.98, 'e': 0.05910858963408708}",20,14,9.7903476974614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.98, 'e': 0.057926417841405335}",20,8,22.74523946284559,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.98, 'e': 0.05676788948457723}",30,19,14.559763611386643,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.98, 'e': 0.05563253169488568}",30,12,32.268178953635356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.98, 'e': 0.054519881060987964}",25,10,28.474075034170447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.98, 'e': 0.05342948343976821}",20,11,14.71208066459981,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.98, 'e': 0.05236089377097284}",25,17,14.631635824415518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.98, 'e': 0.051313675895553384}",20,10,17.676854450302965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.98, 'e': 0.050287402377642315}",25,9,31.774398081382227,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.98, 'e': 0.049281654330089464}",20,12,10.027046643062521,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.98, 'e': 0.048296021243487676}",25,11,30.045789595493375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.98, 'e': 0.04733010081861792}",20,10,20.848351311371808,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.98, 'e': 0.046383498802245564}",20,10,22.41118975645476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.98, 'e': 0.04545582882620065}",20,8,21.357554684960782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.98, 'e': 0.044546712249676636}",25,11,24.962630692716907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.98, 'e': 0.04365577800468311}",20,5,21.389909151209793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.98, 'e': 0.04278266244458944}",25,9,31.19055196158522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.98, 'e': 0.041927009195697654}",30,6,40.42037251089549,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.98, 'e': 0.041088469011783695}",20,14,13.367708362096792,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.98, 'e': 0.040266699631548025}",20,16,5.867817666325135,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.98, 'e': 0.03946136563891706}",20,15,10.370183441888052,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.98, 'e': 0.03867213832613872}",25,16,16.552198188889076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.98, 'e': 0.03789869555961595}",25,7,-14.405262598641752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.98, 'e': 0.03714072164842362}",20,10,17.267398744901595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.98, 'e': 0.036397907215455154}",20,16,7.758998210553172,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.98, 'e': 0.03566994907114605}",20,2,21.320516030328317,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.98, 'e': 0.03495655008972313}",30,16,25.724485541026013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.98, 'e': 0.03425741908792866}",30,8,41.10222094968117,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.98, 'e': 0.03357227070617009}",20,5,26.97765872817269,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.98, 'e': 0.03290082529204669}",30,17,25.620732790269255,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.98, 'e': 0.03224280878620575}",20,12,17.61630744911583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.98, 'e': 0.031597952610481636}",20,2,33.547973492549716,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.98, 'e': 0.030965993558272006}",20,3,15.940535940383814,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.98, 'e': 0.030346673687106564}",20,15,7.589071931654491,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.98, 'e': 0.02973974021336443}",30,19,22.153227819905172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.98, 'e': 0.029144945409097144}",20,12,15.976004317849071,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.98, 'e': 0.0285620465009152}",20,16,8.071819341524762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.98, 'e': 0.027990805570896893}",20,2,-7.463694565841491,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.98, 'e': 0.027430989459478958}",25,0,38.28585958387717,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.98, 'e': 0.026882369670289376}",30,16,26.706946191351665,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.98, 'e': 0.02634472227688359}",20,8,23.137129389774273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.98, 'e': 0.025817827831345917}",20,6,24.95992440170068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.98, 'e': 0.025301471274718997}",30,10,38.81246812166529,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.98, 'e': 0.024795441849224616}",25,13,24.993243344450743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
